code,localidad
647,MARIANO BENITEZ
648,MARISCAL SUCRE
649,MARTIN CORONADO
650,MARTINEZ
651,MAYOR BURATOVICH
652,MAZA
653,MEDANOS
654,MELCHOR ROMERO
655,MELINCUE
656,MEMBRILLAR
657,MENDOZA
658,MERCEDES
659,MERLO
660,MESON DE FIERRO
661,METAN
662,MICAELA CASCALLARES
663,MIGUEL CANE
664,MIGUEL RIGLOS
665,MIRAFLORES
666,MIRAMAR
667,MOCORETA
668,MONTE
669,MONTE BUEY
670,MONTE CASEROS
671,MONTE GRANDE
672,MONTE HERMOSO
673,MONTE QUEMADO
674,MONTECARLO
675,MONTEROS
676,MORENO
677,MORON
678,MORRISON
679,MOUSSY
680,MUNRO
681,MUÑIZ
682,NAPALEOFU
683,NAVARRO
684,NECOCHEA
685,NELSON
686,NEUQUEN
687,NOETINGER
688,NORDELTA
689,NUEVA ESPERANZA
690,OBERA
691,OJO DE AGUA
692,OLAVARRIA
693,OLIVA
694,OLIVOS
695,OLPAS
696,OLTA
697,ONCATIVO
698,ORDOÑEZ
699,ORIENTE
700,OSTENDE
701,OTILIA
702,OTTO BEMBERG
703,PABLO PODESTA
704,PAJAS BLANCAS
705,PALMIRA
706,PALPALA
707,PAMPA DEL INFIERNO
708,PARANA
709,PARQUE NACIONAL LOS ALERCES
710,PASCANAS
711,PASO DE INDIOS
712,PASO DE LOS ANDES
713,PASO DE LOS LIBRES
714,PAVON
715,PAZ
716,PEDERNAL
717,PEDRO LURO
718,PEHUAJO
719,PELLEGRINI
720,PERDRIEL
721,PEREZ
722,PEREZ MILLAN
723,PERGAMINO
724,PERICO
725,PERICO DEL CARMEN
726,PERITO MORENO
727,PEYRANO
728,PIAMONTE
729,PICHANAL
730,PICO TRUNCADO
731,PICUN LEUFU
732,PIEDRA BLANCA
733,PIEDRA DEL AGUILA
734,PIGE
735,PILA
736,PILAR
737,PINAMAR
738,PINTO
739,PLAZA HUINCUL
740,PLAZA SAN FRANCISCO
741,POCITOS
742,POSADAS
743,PRESIDENTE DE LA PLAZA
744,PRESIDENTE ROCA
745,PRESIDENTE ROQUE SAENZ PEÑA
746,PTE.DERQUI
747,PUAN
748,PUEBLO SAN JOSE
749,PUERTO DESEADO
750,PUERTO ESPERANZA
751,PUERTO MADRYN
752,PUERTO SAN JULIAN
753,PUERTO VILELAS
754,PUNTA ALTA
755,PUNTA INDIO
756,PUNTA LARA
757,QUEMU-QUEMU
758,QUEQUEN
759,QUILMES
760,QUILMES OESTE
761,QUIMILI
762,QUITILIPI
763,RADA TILLY
764,RAFAEL CALZADA
765,RAFAEL CASTILLO
766,RAFAEL OBLIGADO
767,RAFAELA
768,RAMA CAIDA
769,RAMALLO
770,RAMOS MEJIA
771,RANCUL
772,RAUCH
773,RAWSON
774,REAL DEL PADRE
775,REALICO
776,RECONQUISTA
777,RECREO
778,REDUCCION
779,REMECO
780,REMEDIOS DE ESCALADA
781,RESISTENCIA
782,RETA
783,RICARDONE
784,RINCON DE LOS SAUCES
785,RIO CEBALLOS
786,RIO COLORADO
787,RIO CUARTO
788,RIO GALLEGOS
789,RIO GRANDE
790,RIO PICO
791,RIO PRIMERO
792,RIO SEGUNDO
793,RIO TALA
794,RIO TERCERO
795,RIPAMONTI
796,RIVADAVIA
797,RODEO
798,RODEO DE LA CRUZ
799,RODEO DEL MEDIO
800,ROJAS
801,ROLDAN
802,ROLON
803,ROQUE PEREZ
804,ROSARIO
805,ROSARIO DE LA FRONTERA
806,ROSARIO DE LERMA
807,RUFINO
808,SAAVEDRA
809,SAENZ PEÑA
810,SALADAS
811,SALADILLO
812,SALDUNGARAY
813,SALLIQUELO
814,SALSIPUEDES
815,SALTA
816,SALTO
817,SALTO DE LAS ROSAS
818,SALTO GRANDE
819,SAN AGUSTIN
820,SAN ANDRES
821,SAN ANDRES DE GILES
822,SAN ANTONIO DE ARECO
823,SAN ANTONIO DE FRAY MAMERTO ES
824,SAN ANTONIO DE OBLIGADO
825,SAN ANTONIO DE PADUA
826,SAN BERNARDO
827,SAN BERNARDO (MUNIC.DE LA COST
828,SAN CARLOS
829,SAN CARLOS CENTRO
830,SAN CARLOS DE BARILOCHE
831,SAN CAYETANO
832,SAN CLEMENTE DEL TUYU
833,SAN CRISTOBAL
834,SAN FERNANDO
835,SAN FERNANDO DEL VALLE DE CATA
836,SAN FRANCISCO
837,SAN FRANCISCO DE SANTA FE
838,SAN FRANCISCO SOLANO
839,SAN GENARO NORTE
840,SAN GERONIMO
841,SAN GREGORIO
842,SAN GUILLERMO
843,SAN IGNACIO
844,SAN ISIDRO
845,SAN JAVIER
846,SAN JERONIMO NORTE
847,SAN JORGE
848,SAN JOSE
849,SAN JOSE DE LA DORMIDA
850,SAN JUAN
851,SAN JUSTO
852,SAN LORENZO
853,SAN LUIS
854,SAN LUIS DEL PALMAR
855,SAN MARCELO
856,SAN MARCOS
857,SAN MARTIN
858,SAN MARTIN DE LOS ANDES
859,SAN MARTIN DE TOURS
860,SAN MIGUEL
861,SAN MIGUEL DE TUCUMAN
862,SAN NICOLAS
863,SAN PEDRO
864,SAN PEDRO DE COLALAO
865,SAN PEDRO-CAPAYAN
866,SAN RAFAEL
867,SAN RAMON DE LA NUEVA ORAN
868,SAN ROQUE
869,SAN ROQUE PUNILLA
870,SAN SALVADOR JUJUY
871,SAN VICENTE
872,SANCHEZ
873,SANCTI SPIRITU
874,SANTA CLARA
875,SANTA CLARA DE SAGUIER
876,SANTA CLARA DEL MAR
877,SANTA FE
878,SANTA LUCIA
879,SANTA LUISA
880,SANTA MARIA
881,SANTA MARIA DE PUNILLA
882,SANTA ROSA
883,SANTA ROSA DE CALAMUCHITA
884,SANTA ROSA DEL CONLARA
885,SANTA SYLVINA
886,SANTA TERESA
887,SANTA TERESITA
888,SANTIAGO DEL ESTERO
889,SANTO TOME
890,SANTOS LUGARES
891,SANTOS TESEI
892,SARANDI
893,SARMIENTO
894,SASTRE
895,SAUCE
896,SAUJIL
897,SEBASTIAN ELCANO
898,SENILLOSA
899,SIERRA DE LA VENTANA
900,SIERRA DE LOS PADRES
901,SIERRAS BAYAS
902,SOL DE MAYO
903,SOLDINI
904,STRUEDER
905,SUIPACHA
906,SUMAMPA
907,SUNCHALES
908,SUNCHO CORRAL
909,TABAY
910,TABLADA
911,TACURAL
912,TAFI DEL VALLE
913,TAFI VIEJO
914,TAMBERIAS
915,TANCACHA
916,TANDIL
917,TANTI
918,TAPALQUE
919,TAPIALES
920,TAPSO
921,TARTAGAL
922,TELEN
923,TEMPERLEY
924,TERMAS DE RIO HONDO
925,TESEI
926,TIGRE
927,TILCARA
928,TINOGASTA
929,TINTINA
930,TIO PUJIO
931,TOAY
932,TORNQUIST
933,TORRENT
934,TORTUGAS
935,TORTUGUITAS
936,TOSTADO
937,TOTORAS
938,TRELEW
939,TRENEL
940,TRENQUE LAUQUEN
941,TRES ARROYOS
942,TRES ESQUINAS
943,TRES ISLETAS
944,TRES LOMAS
945,TREVELIN
946,TRISTAN SUAREZ
947,TUNUYAN
948,TUPUNGATO
949,TURDERA
950,ULAPES
951,URDAMPILLETA
952,URIBURU
953,USHUAIA
954,USPALLATA
955,VALCHETA
956,VALENTIN ALSINA
957,VALLE FERTIL
958,VALLE HONDO
959,VEDIA
960,VENADO TUERTO
961,VERA
962,VERTIZ
963,VICENTE LOPEZ
964,VICTORIA
965,VICTORICA
966,VICTORINO DE LA PLAZA
967,VICUÑA MACKENNA
968,VIDELA
969,VIEDMA
970,VILLA ABERASTAIN
971,VILLA ADELINA
972,VILLA ALLENDE
973,VILLA ANGELA
974,VILLA ASCASUBI
975,VILLA ATAMISQUI
976,VILLA ATUEL
977,VILLA BALLESTER
978,VILLA BELGRANO
979,VILLA BERTHET
980,VILLA BOSCH
981,VILLA CARLOS PAZ
982,VILLA CONSTITUCION
983,VILLA CURA BROCHERO
984,VILLA DE JUNIN
985,VILLA DE MARIA DEL RIO SECO
986,VILLA DEL DIQUE
987,VILLA DEL ROSARIO
988,VILLA DEL SALVADOR
989,VILLA DEL TOTORAL
990,VILLA DOLORES
991,VILLA DOMINICO
992,VILLA ELISA
993,VILLA ELOISA
994,VILLA FLANDRIA
995,VILLA GDOR.GALVEZ
996,VILLA GESELL
997,VILLA GIARDINO
998,VILLA GRAL.BELGRANO
999,VILLA GUILLERMINA
1000,VILLA IRIS
1001,VILLA KRAUSE
1002,VILLA LA ANGOSTURA
1003,VILLA LOMA HERMOSA
1004,VILLA LOS PINOS
1005,VILLA LUZURIAGA
1006,VILLA LYNCH
1007,VILLA MADERO
1008,VILLA MAIPU
1009,VILLA MARIA
1010,VILLA MARTELLI
1011,VILLA MERCEDES
1012,VILLA MIRASOL
1013,VILLA NUEVA
1014,VILLA NUEVA DE GUAYMALLEN
1015,VILLA OCAMPO
1016,VILLA RAMALLO
1017,VILLA REGINA
1018,VILLA ROSA
1019,VILLA RUMIPAL
1020,VILLA SECA
1021,VILLA TRINIDAD
1022,VILLA UNION
1023,VILLALONGA
1024,VIRREYES
1025,VISTA FLORES
1026,WHEELWRIGHT
1027,WILDE
1028,WINIFREDA
1029,YERBA BUENA
1030,ZAPALA
1031,ZAPIOLA
1032,ZARATE
